subject,correction_prompt
Q1000314,"The following triples for the subject need attention:

Errors:
Triple: [""Tom O'Donnell"", 'member of political party', 'Fine Gael']
Error: Object 'Fine Gael' not defined as an instance.

Triple: [""Tom O'Donnell"", 'country of citizenship', 'Ireland']
Error: Object 'Ireland' not defined as an instance.

Triple: [""Tom O'Donnell"", 'occupation', 'Teachta Dála']
Error: Object 'Teachta Dála' not defined as an instance.

Triple: [""Tom O'Donnell"", 'work location', 'Dáil Éireann']
Error: Object 'Dáil Éireann' not defined as an instance.

Triple: [""Tom O'Donnell"", 'position held', 'TD for Limerick East']
Error: Object 'TD for Limerick East' not defined as an instance.

Unused Declarations:
Triple: ['1961 general election', 'instance of', 'election']
Note: Subject '1961 general election' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1001,"The following triples for the subject need attention:

Errors:
Triple: ['South Africa', 'instance of', 'sovereign state']
Error: Instance type 'sovereign state' not associated with any property for subject 'South Africa'

Triple: ['Mohandas Karamchand Gandhi', 'moved to', 'South Africa']
Error: Error: Property 'moved to' not found in properties.

Triple: ['Mohandas Karamchand Gandhi', 'occupation', 'lawyer']
Error: Object 'lawyer' not defined as an instance.

Triple: ['Mohandas Karamchand Gandhi', 'country of citizenship', 'British India']
Error: Object 'British India' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1007206,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Olvidarte Jamas', 'instance of', 'work']
Note: Subject 'Olvidarte Jamas' is not used in other triples.

Triple: ['Venezuelan television drama', 'instance of', 'work']
Note: Subject 'Venezuelan television drama' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1008502,"The following triples for the subject need attention:

Errors:
Triple: ['Spain', 'instance of', 'country']
Error: Instance type 'country' not valid for object 'Spain' with property 'place of death'

Triple: ['COVID-19', 'instance of', 'disease']
Error: Instance type 'disease' not valid for object 'COVID-19' with property 'cause of death'

Triple: ['Josep Maria Benet i Jornet', 'date of death', '6 April 2020']
Error: Object '6 April 2020' not defined as an instance.

Triple: ['Josep Maria Benet i Jornet', 'cause of death', 'COVID-19']
Error: Subject 'Josep Maria Benet i Jornet' type 'human' does not satisfy the property 'cause of death' subject constraints: ['group of fictional characters', 'character that may or may not be fictional', 'group of living things', 'person', 'fictional character', 'organism']

Triple: ['Josep Maria Benet i Jornet', 'place of death', 'Spain']
Error: Object 'Spain' type 'country' does not satisfy the property 'place of death' value constraints: ['residential facility', 'at sea', 'geographic entity', 'facility', 'mythical location', 'medical facility', 'fictional location', 'geographic location', 'nursing home', 'geographical feature', 'seminary', 'battle', 'building', 'hospital', 'astronomical object', 'orbit']

Unused Declarations:
Triple: ['coronavirus pandemic', 'instance of', 'pandemic']
Note: Subject 'coronavirus pandemic' is not used in other triples.

Triple: ['Catalan government', 'instance of', 'government']
Note: Subject 'Catalan government' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q100948,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['The National Audubon Society', 'instance of', 'organization']
Note: Subject 'The National Audubon Society' is not used in other triples.

Triple: ['The American Geographical Society', 'instance of', 'organization']
Note: Subject 'The American Geographical Society' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1010602,"The following triples for the subject need attention:

Errors:
Triple: ['University of Milan', 'instance of', 'academic institution']
Error: Instance type 'academic institution' not valid for object 'University of Milan' with property 'member of'

Triple: ['Maria Monti', 'occupation', 'singer and actress']
Error: Object 'singer and actress' not defined as an instance.

Triple: ['Ombretta Colli', 'occupation', 'student']
Error: Object 'student' not defined as an instance.

Triple: ['Ombretta Colli', 'languages spoken, written or signed', 'Chinese and Russian']
Error: Object 'Chinese and Russian' not defined as an instance.

Triple: ['Ombretta Colli', 'member of', 'University of Milan']
Error: Object 'University of Milan' type 'academic institution' does not satisfy the property 'member of' value constraints: ['fictional criminal organization', 'commission', 'fraternal hall', 'group', 'group of humans', 'fictional organization', 'group of fictional characters', 'collective', 'church congregation', 'social movement', 'network', 'Christian ministry', 'voluntary association', ""employers' organization"", 'subculture', 'organization', 'advocacy group', 'synagogue']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q101137,"The following triples for the subject need attention:

Errors:
Triple: ['Political scandal', 'instance of', 'event']
Error: Instance type 'event' not associated with any property for subject 'Political scandal'

Triple: ['Japanese pension system', 'instance of', 'system']
Error: Instance type 'system' not associated with any property for subject 'Japanese pension system'

Triple: ['Political scandal', 'instance of', 'event']
Error: Instance type 'event' not associated with any property for subject 'Political scandal'

Triple: ['Japanese pension system', 'instance of', 'system']
Error: Instance type 'system' not associated with any property for subject 'Japanese pension system'

Triple: ['Political scandal', 'related to', 'Japanese pension system']
Error: Error: Property 'related to' not found in properties.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q101286,"The following triples for the subject need attention:

Errors:
Triple: ['Innocent XI', 'position held', 'pontiff']
Error: Object 'pontiff' not defined as an instance.

Triple: ['Innocent XI', 'date of position or office assumption', '4 October 1676']
Error: Error: Property 'date of position or office assumption' not found in properties.

Triple: ['Cardinal Francesco Maidalchini', 'position held', 'protodeacon']
Error: Object 'protodeacon' not defined as an instance.

Triple: ['Innocent XI', 'crowned by', 'Cardinal Francesco Maidalchini']
Error: Error: Property 'crowned by' not found in properties.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q101547,"The following triples for the subject need attention:

Errors:
Triple: ['Thabo Mbeki', 'award received', 'honorary doctorate of laws from Glasgow Caledonian University']
Error: Object 'honorary doctorate of laws from Glasgow Caledonian University' not defined as an instance.

Triple: ['Thabo Mbeki', 'award received', 'honorary doctorate from Rand Afrikaans University']
Error: Object 'honorary doctorate from Rand Afrikaans University' not defined as an instance.

Triple: ['Thabo Mbeki', 'occupation', 'BA degree in economics']
Error: Object 'BA degree in economics' not defined as an instance.

Triple: ['Thabo Mbeki', 'occupation', ""Master's degree in African studies""]
Error: Object 'Master's degree in African studies' not defined as an instance.

Unused Declarations:
Triple: ['Glasgow Caledonian University', 'instance of', 'educational institution']
Note: Subject 'Glasgow Caledonian University' is not used in other triples.

Triple: ['Rand Afrikaans University', 'instance of', 'educational institution']
Note: Subject 'Rand Afrikaans University' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q101728,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Columbia University', 'instance of', 'university']
Note: Subject 'Columbia University' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
