subject,triples,cycle
Q607066,"[[""Massimo Mutarelli"", ""instance of"", ""human""], [""Genoa"", ""instance of"", ""sports team""], [""Bergamo"", ""instance of"", ""geographic location""], [""Bologna"", ""instance of"", ""geographic location""], [""Serie B"", ""instance of"", ""sports league""], [""Massimo Mutarelli"", ""member of sports team"", ""Genoa""], [""Massimo Mutarelli"", ""member of sports team"", ""Bologna""], [""Massimo Mutarelli"", ""position played on team / speciality"", ""football player""]]",1
Q607227,"[[""John C. Butcher"", ""instance of"", ""human""], [""John C. Butcher"", ""award received"", ""Van Wijngaarden Award""], [""Van Wijngaarden Award"", ""instance of"", ""award""], [""2011"", ""instance of"", ""year""]]",1
Q60735663,"[[""Carlos Lozada"", ""instance of"", ""human""], [""The Washington Post"", ""instance of"", ""newspaper""], [""Pulitzer Prize for Criticism"", ""instance of"", ""award""], [""Carlos Lozada"", ""employer"", ""The Washington Post""], [""Carlos Lozada"", ""award received"", ""Pulitzer Prize for Criticism""]]",1
Q607364,"[[""Claudio Bellucci"", ""instance of"", ""human""], [""Claudio Bellucci"", ""member of sports team"", ""Sampdoria""], [""15 June 2007"", ""instance of"", ""date""], [""free transfer"", ""instance of"", ""transaction""]]",1
Q60740771,"[[""Marc Elrich"", ""instance of"", ""human""], [""Montgomery County Executive"", ""instance of"", ""position""], [""Democratic nominee"", ""instance of"", ""Ticket (election)""], [""Republican nominee"", ""instance of"", ""Ticket (election)""], [""2018 primary"", ""instance of"", ""political event""], [""general election"", ""instance of"", ""political event""], [""Robin Ficker"", ""instance of"", ""human""], [""Nancy Floreen"", ""instance of"", ""human""], [""Marc Elrich"", ""member of political party"", ""Democratic""], [""Marc Elrich"", ""position held"", ""Montgomery County Executive""], [""Robin Ficker"", ""member of political party"", ""Republican""], [""Nancy Floreen"", ""instance of"", ""independent challenger""], [""2018 primary"", ""participant"", ""Marc Elrich""], [""general election"", ""participant"", ""Marc Elrich""], [""general election"", ""participant"", ""Robin Ficker""], [""general election"", ""participant"", ""Nancy Floreen""]]",1
Q6074219,"[[""Irven Spence"", ""instance of"", ""human""], [""1986 Winsor McCay Award"", ""instance of"", ""award""], [""International Animated Film Society, ASIFA-Hollywood"", ""instance of"", ""organization""], [""Irven Spence"", ""award received"", ""1986 Winsor McCay Award""], [""International Animated Film Society, ASIFA-Hollywood"", ""employer"", ""Irven Spence""], [""Irven Spence"", ""occupation"", ""animation""]]",1
Q6074268,"[[""Philipp Prosenik"", ""instance of"", ""human""], [""Rapid Wien"", ""instance of"", ""sports team""], [""Chelsea"", ""instance of"", ""sports team""], [""Philipp Prosenik"", ""member of sports team"", ""Rapid Wien""], [""Philipp Prosenik"", ""member of sports team"", ""Chelsea""], [""Philipp Prosenik"", ""sport"", ""football""], [""English Premier League"", ""instance of"", ""sports organization""], [""Chelsea"", ""member of sports team"", ""English Premier League""]]",1
Q6074470,"[[""Irving B. Weiner"", ""instance of"", ""person""], [""Bruno Klopfer Award for  Outstanding Lifetime Contribution"", ""instance of"", ""award""], [""Society for Personality Assessment"", ""instance of"", ""organization""], [""Irving B. Weiner"", ""award received"", ""Bruno Klopfer Award for  Outstanding Lifetime Contribution""], [""Irving B. Weiner"", ""occupation"", ""professional contribution to the field of personality assessment""], [""Irving B. Weiner"", ""member of"", ""Society for Personality Assessment""]]",1
Q6075105,"[[""Irwin M. Jacobs"", ""instance of"", ""human""], [""Marconi Prize"", ""instance of"", ""award""], [""Marconi Fellow"", ""instance of"", ""recognition""], [""Irwin M. Jacobs"", ""award received"", ""Marconi Prize""], [""Irwin M. Jacobs"", ""award received"", ""Marconi Fellow""]]",1
Q60763,"[[""Emmy G\u00f6ring"", ""instance of"", ""human""], [""Hermann G\u00f6ring"", ""instance of"", ""human""], [""Nazi"", ""instance of"", ""political party""], [""Luftwaffe"", ""instance of"", ""military organization""], [""Hermann G\u00f6ring"", ""occupation"", ""Luftwaffe chief""], [""Hermann G\u00f6ring"", ""member of political party"", ""Nazi""], [""Emmy G\u00f6ring"", ""spouse"", ""Hermann G\u00f6ring""], [""Hermann G\u00f6ring"", ""spouse"", ""Emmy G\u00f6ring""]]",1
