subject,triples,cycle
Q607066,"[[""Massimo Mutarelli"", ""instance of"", ""human""], [""Genoa"", ""instance of"", ""sports team""], [""Bologna"", ""instance of"", ""sports team""], [""Serie B"", ""instance of"", ""sports league""], [""Massimo Mutarelli"", ""member of sports team"", ""Genoa""], [""Massimo Mutarelli"", ""member of sports team"", ""Bologna""]]",3
Q607227,"[[""John C. Butcher"", ""instance of"", ""human""], [""John C. Butcher"", ""award received"", ""Van Wijngaarden Award""], [""Van Wijngaarden Award"", ""instance of"", ""award""], [""2011"", ""instance of"", ""year""]]",3
Q60735663,"[[""Carlos Lozada"", ""instance of"", ""human""], [""The Washington Post"", ""instance of"", ""newspaper""], [""Pulitzer Prize for Criticism"", ""instance of"", ""award""], [""Carlos Lozada"", ""employer"", ""The Washington Post""], [""Carlos Lozada"", ""award received"", ""Pulitzer Prize for Criticism""]]",1
Q607364,"[[""Claudio Bellucci"", ""instance of"", ""human""], [""Sampdoria"", ""instance of"", ""sports team""], [""Claudio Bellucci"", ""member of sports team"", ""Sampdoria""]]",2
Q60740771,"[[""Marc Elrich"", ""instance of"", ""human""], [""Montgomery County Executive"", ""instance of"", ""position""], [""Democratic Party"", ""instance of"", ""political party""], [""Republican Party"", ""instance of"", ""political party""], [""Robin Ficker"", ""instance of"", ""human""], [""Nancy Floreen"", ""instance of"", ""human""], [""Marc Elrich"", ""member of political party"", ""Democratic Party""], [""Marc Elrich"", ""position held"", ""Montgomery County Executive""], [""Robin Ficker"", ""member of political party"", ""Republican Party""]]",3
Q6074219,"[[""Irven Spence"", ""instance of"", ""human""], [""1986 Winsor McCay Award"", ""instance of"", ""award""], [""Irven Spence"", ""award received"", ""1986 Winsor McCay Award""]]",2
Q6074268,"[[""Philipp Prosenik"", ""instance of"", ""human""], [""Rapid Wien"", ""instance of"", ""sports team""], [""Chelsea"", ""instance of"", ""sports team""], [""Philipp Prosenik"", ""member of sports team"", ""Rapid Wien""], [""Philipp Prosenik"", ""member of sports team"", ""Chelsea""], [""English Premier League"", ""instance of"", ""sports league""]]",3
Q6074470,"[[""Irving B. Weiner"", ""instance of"", ""person""], [""Bruno Klopfer Award for  Outstanding Lifetime Contribution"", ""instance of"", ""award""], [""Society for Personality Assessment"", ""instance of"", ""organization""], [""1983"", ""instance of"", ""date""], [""Irving B. Weiner"", ""award received"", ""Bruno Klopfer Award for  Outstanding Lifetime Contribution""], [""Irving B. Weiner"", ""member of"", ""Society for Personality Assessment""]]",3
Q6075105,"[[""Irwin M. Jacobs"", ""instance of"", ""human""], [""Marconi Prize"", ""instance of"", ""award""], [""Marconi Fellow"", ""instance of"", ""recognition""], [""Irwin M. Jacobs"", ""award received"", ""Marconi Prize""], [""Irwin M. Jacobs"", ""award received"", ""Marconi Fellow""]]",1
Q60763,"[[""Emmy G\u00f6ring"", ""instance of"", ""human""], [""Hermann G\u00f6ring"", ""instance of"", ""human""], [""Nazi"", ""instance of"", ""political party""], [""Hermann G\u00f6ring"", ""member of political party"", ""Nazi""], [""Emmy G\u00f6ring"", ""spouse"", ""Hermann G\u00f6ring""], [""Hermann G\u00f6ring"", ""spouse"", ""Emmy G\u00f6ring""]]",2
