subject,triples,cycle
Q607066,"[[""Charlie Waters"", ""instance of"", ""human""], [""Atl\u00e9tico de Madrid"", ""instance of"", ""sports team""], [""Serie B"", ""instance of"", ""sports competition""], [""Bergamo"", ""instance of"", ""geographic location""], [""Juventus FC"", ""instance of"", ""sports team""], [""Charlie Waters"", ""member of sports team"", ""Atl\u00e9tico de Madrid""], [""Charlie Waters"", ""member of sports team"", ""Juventus FC""], [""Charlie Waters"", ""date of birth"", ""January 1998""], [""Charlie Waters"", ""date of birth"", ""January 2009""]]",1
Q607227,"[[""Ferdinand von Arnim"", ""instance of"", ""human""], [""2011"", ""instance of"", ""year""], [""SASTRA Ramanujan Prize"", ""instance of"", ""award""], [""Ferdinand von Arnim"", ""award received"", ""SASTRA Ramanujan Prize""]]",1
Q60735663,"[[""Karlheinz F\u00f6rster"", ""instance of"", ""human""], [""Karlheinz F\u00f6rster"", ""occupation"", ""economics editor""], [""Karlheinz F\u00f6rster"", ""occupation"", ""national security editor""], [""Karlheinz F\u00f6rster"", ""occupation"", ""Outlook editor""], [""Karlheinz F\u00f6rster"", ""occupation"", ""actress""], [""Karlheinz F\u00f6rster"", ""employer"", ""El Calpense""], [""Karlheinz F\u00f6rster"", ""award received"", ""2019 Tony Award for Best Actress in a Play""]]",1
Q607364,"[[""Lucy Griffiths"", ""instance of"", ""human""], [""Lucy Griffiths"", ""member of sports team"", ""Athletic Club""], [""15 June 2007"", ""instance of"", ""date""]]",1
Q60740771,"[[""Samuel P. Huntington"", ""instance of"", ""human""], [""Democratic"", ""instance of"", ""political party""], [""Azad Kashmir"", ""instance of"", ""sovereign state""], [""Robin Ficker"", ""instance of"", ""human""], [""Nancy Floreen"", ""instance of"", ""human""], [""President of Azad Kashmir"", ""instance of"", ""position""], [""Republican"", ""instance of"", ""political party""], [""2018 primary"", ""instance of"", ""Ticket (election)""], [""general election"", ""instance of"", ""Ticket (election)""], [""Samuel P. Huntington"", ""position held"", ""President of Azad Kashmir""], [""Samuel P. Huntington"", ""member of political party"", ""Democratic""], [""Robin Ficker"", ""member of political party"", ""Republican""], [""Azad Kashmir"", ""country of citizenship"", ""Samuel P. Huntington""]]",1
Q6074219,"[[""Harold C. Ostertag"", ""instance of"", ""human""], [""1986 Annie Award for Best Animated Feature"", ""instance of"", ""award""], [""ASIFA-Hollywood"", ""instance of"", ""organization""], [""International Animated Film Society"", ""instance of"", ""organization""], [""Harold C. Ostertag"", ""award received"", ""1986 Annie Award for Best Animated Feature""], [""ASIFA-Hollywood"", ""employer"", ""Harold C. Ostertag""], [""International Animated Film Society"", ""employer"", ""ASIFA-Hollywood""]]",1
Q6074268,"[[""Hannelore Kraft"", ""instance of"", ""human""], [""Ross County F.C."", ""instance of"", ""sports team""], [""Chelsea"", ""instance of"", ""sports team""], [""Hannelore Kraft"", ""member of sports team"", ""Ross County F.C.""], [""Hannelore Kraft"", ""member of sports team"", ""Chelsea""], [""Hannelore Kraft"", ""occupation"", ""reserve team player""], [""Hannelore Kraft"", ""occupation"", ""youth ranks player""]]",1
Q6074470,"[[""Hannah More"", ""instance of"", ""human""], [""1983"", ""instance of"", ""year""], [""Guldpipan for Outstanding Lifetime Contribution"", ""instance of"", ""award""], [""Society for Personality Assessment"", ""instance of"", ""organization""], [""Hannah More"", ""award received"", ""Guldpipan for Outstanding Lifetime Contribution""], [""Guldpipan for Outstanding Lifetime Contribution"", ""awarded by"", ""Society for Personality Assessment""], [""Hannah More"", ""occupation"", ""personality assessment professional""]]",1
Q6075105,"[[""Daniela Schadt"", ""instance of"", ""human""], [""Sigmund Freud Prize"", ""instance of"", ""award""], [""Marconi Fellow"", ""instance of"", ""award""], [""Daniela Schadt"", ""award received"", ""Sigmund Freud Prize""], [""Daniela Schadt"", ""award received"", ""Marconi Fellow""]]",1
Q60763,"[[""Ludolf von Alvensleben"", ""instance of"", ""human""], [""Aloys Van de Vyvere"", ""instance of"", ""human""], [""Ludolf von Alvensleben"", ""spouse"", ""Aloys Van de Vyvere""], [""Aloys Van de Vyvere"", ""member of political party"", ""Nazi""], [""Aloys Van de Vyvere"", ""occupation"", ""Luftwaffe chief""]]",1
Q6077568,"[[""Sam Peckinpah"", ""instance of"", ""human""], [""Warsaw School of Applied Design for Women"", ""instance of"", ""educational institution""], [""Illustration"", ""instance of"", ""field of work""], [""Sam Peckinpah"", ""date of birth"", ""1902""], [""Sam Peckinpah"", ""educated at"", ""Warsaw School of Applied Design for Women""], [""Sam Peckinpah"", ""field of work"", ""Illustration""]]",1
Q60776100,"[[""Ashawna Hailey"", ""instance of"", ""human""], [""Zurich Film Award"", ""instance of"", ""award""], [""APJ Abdul Kalam"", ""instance of"", ""human""], [""11th President of India"", ""instance of"", ""title of authority""], [""2006"", ""instance of"", ""year""], [""India"", ""instance of"", ""country""], [""Ashawna Hailey"", ""award received"", ""Zurich Film Award""], [""APJ Abdul Kalam"", ""occupation"", ""11th President of India""]]",1
Q6078,"[[""Ludwig Yorck von Wartenburg"", ""instance of"", ""human""], [""Ludwig Yorck von Wartenburg"", ""educated at"", ""Gyeonggi Science High School""], [""Ludwig Yorck von Wartenburg"", ""educated at"", ""Fremont High School""], [""Gyeonggi Science High School"", ""instance of"", ""educational institution""], [""Fremont High School"", ""instance of"", ""educational institution""], [""Gyeonggi Science High School"", ""location"", ""Compton""], [""Fremont High School"", ""location"", ""South Central Los Angeles""], [""Ludwig Yorck von Wartenburg"", ""start time"", ""1979""]]",1
Q6085915,"[[""Aarno Ruusuvuori"", ""instance of"", ""human""], [""James Meredith"", ""instance of"", ""human""], [""Istanbul"", ""instance of"", ""geographic entity""], [""1969"", ""instance of"", ""year""], [""Aarno Ruusuvuori"", ""spouse"", ""James Meredith""], [""Aarno Ruusuvuori"", ""movement"", ""Istanbul""]]",1
Q6087134,"[[""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""instance of"", ""human""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""educated at"", ""National University of East Timor""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""educated at"", ""Dublin""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""educated at"", ""Vienna""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""educated at"", ""The Hague""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""educated at"", ""Paris""], [""Gustav Lombard R\u221a\u2202si\u221a\u2202"", ""occupation"", ""attach\u221a\u00a9 at the Ministry for Foreign Affairs""]]",1
Q6087455,"[[""Bart Somers"", ""instance of"", ""human""], [""Chanakya"", ""instance of"", ""human""], [""Bart Somers"", ""spouse"", ""Chanakya""], [""Bart Somers"", ""child"", ""two children""]]",1
Q608815,"[[""Sylvia Day"", ""instance of"", ""human""], [""Sylvia Day"", ""sex or gender"", ""male""], [""Sylvia Day"", ""occupation"", ""governor""], [""Sylvia Day"", ""place of death"", ""Marseille""], [""Sylvia Day"", ""date of death"", ""1986""], [""Sylvia Day"", ""position held"", ""governor of Marseille""], [""governor of Marseille"", ""instance of"", ""position""]]",1
Q60884,"[[""Roberto Anzolin"", ""instance of"", ""human""], [""German philosopher and political scientist Alexei I of Russia"", ""instance of"", ""human""], [""Austrian writer Wilhelm Ostwald"", ""instance of"", ""human""], [""American pianist Manfred von Richthofen"", ""instance of"", ""human""], [""Roberto Anzolin"", ""spouse"", ""German philosopher and political scientist Alexei I of Russia""], [""Roberto Anzolin"", ""spouse"", ""Austrian writer Wilhelm Ostwald""], [""Roberto Anzolin"", ""spouse"", ""American pianist Manfred von Richthofen""]]",1
