subject,triples,cycle
Q107365,"[[""Ernst Friedrich Zwirner"", ""instance of"", ""human""], [""Inter Milan"", ""instance of"", ""sports team""], [""1 June 2011"", ""instance of"", ""date""], [""June 2016"", ""instance of"", ""date""], [""five-year contract"", ""instance of"", ""contract""], [""Ernst Friedrich Zwirner"", ""member of sports team"", ""Inter Milan""], [""Ernst Friedrich Zwirner"", ""work period (start)"", ""1 June 2011""], [""five-year contract"", ""start time"", ""1 June 2011""], [""five-year contract"", ""end time"", ""June 2016""]]",1
Q1073739,"[[""Marquise d'Espard"", ""instance of"", ""human""], [""X"", ""instance of"", ""educational institution""], [""2003"", ""instance of"", ""time period""], [""Bachelor's degree"", ""instance of"", ""academic degree""], [""Cybernetics"", ""instance of"", ""field of study""], [""Post-graduate work"", ""instance of"", ""academic curriculum""], [""Positronic brains"", ""instance of"", ""artificial object""], [""Marquise d'Espard"", ""educated at"", ""X""], [""Marquise d'Espard"", ""occupation"", ""post-graduate student""], [""Marquise d'Espard"", ""field of work"", ""cybernetics""], [""Marquise d'Espard"", ""date of graduation"", ""2003""]]",1
Q10738,"[[""Margot Frank"", ""instance of"", ""human""], [""Ashayet"", ""instance of"", ""human""], [""May 3, 1997"", ""instance of"", ""time period""], [""Margot Frank"", ""spouse"", ""Ashayet""]]",1
Q107405,"[[""University of Charleston"", ""instance of"", ""educational institution""], [""Robert Leroux"", ""instance of"", ""human""], [""Hans Falkenhagen"", ""instance of"", ""human""], [""Austria"", ""instance of"", ""sovereign state""], [""Lorentz Medal"", ""instance of"", ""science award""], [""Carl Duisberg Memorial Award"", ""instance of"", ""award""], [""Nobel Prize in Chemistry"", ""instance of"", ""science award""], [""Robert Leroux"", ""employer"", ""University of Charleston""], [""Robert Leroux"", ""award received"", ""Lorentz Medal""], [""Robert Leroux"", ""award received"", ""Carl Duisberg Memorial Award""], [""Robert Leroux"", ""award received"", ""Nobel Prize in Chemistry""], [""Robert Leroux"", ""place of birth"", ""Austria""]]",1
Q107407,"[[""Santillana"", ""instance of"", ""human""], [""Bronx High School of Science"", ""instance of"", ""educational institution""], [""University of Michigan"", ""instance of"", ""educational institution""], [""Pepperdine University"", ""instance of"", ""educational institution""], [""Sidney Coleman"", ""instance of"", ""human""], [""Santillana"", ""educated at"", ""Bronx High School of Science""], [""Santillana"", ""educated at"", ""University of Michigan""], [""Santillana"", ""educated at"", ""Pepperdine University""], [""Santillana"", ""doctoral advisor"", ""Sidney Coleman""]]",1
Q107450,"[[""Georg B\u00fchler"", ""instance of"", ""human""], [""1982"", ""instance of"", ""year""], [""Leonardo da Vinci programme"", ""instance of"", ""award""], [""Georg B\u00fchler"", ""award received"", ""Leonardo da Vinci programme""]]",1
Q1074540,"[[""Friedrich Wilhelm Foerster"", ""instance of"", ""human""], [""U.C. Sampdoria"", ""instance of"", ""sports team""], [""VfB Stuttgart"", ""instance of"", ""sports team""], [""Lega Pro Prima Divisione"", ""instance of"", ""sports team""], [""Serie C1"", ""instance of"", ""sports team""], [""Friedrich Wilhelm Foerster"", ""member of sports team"", ""U.C. Sampdoria""], [""Friedrich Wilhelm Foerster"", ""member of sports team"", ""VfB Stuttgart""], [""Friedrich Wilhelm Foerster"", ""member of sports team"", ""Lega Pro Prima Divisione""], [""Friedrich Wilhelm Foerster"", ""member of sports team"", ""Serie C1""], [""Friedrich Wilhelm Foerster"", ""work period (start)"", ""January 2007""], [""Friedrich Wilhelm Foerster"", ""work period (start)"", ""July 2008""]]",1
Q1075016,"[[""Ole Gunnar Solskj\u00e6r"", ""instance of"", ""human""], [""1 July 2004"", ""instance of"", ""date""], [""SSC Napoli"", ""instance of"", ""sports team""], [""21 games"", ""instance of"", ""game""], [""9 in the UEFA Cup"", ""instance of"", ""game""], [""1 in the Coppa Italia"", ""instance of"", ""game""], [""1 in the relegation playoffs"", ""instance of"", ""game""], [""Fleetwood Town F.C."", ""instance of"", ""sports team""], [""2005 Russian season"", ""instance of"", ""sports season""], [""Ole Gunnar Solskj\u00e6r"", ""member of sports team"", ""SSC Napoli""], [""Ole Gunnar Solskj\u00e6r"", ""member of sports team"", ""Fleetwood Town F.C.""], [""Ole Gunnar Solskj\u00e6r"", ""position played on team / speciality"", ""playing 21 games""], [""Ole Gunnar Solskj\u00e6r"", ""position played on team / speciality"", ""playing 9 in the UEFA Cup""], [""Ole Gunnar Solskj\u00e6r"", ""position played on team / speciality"", ""playing 1 in the Coppa Italia""], [""Ole Gunnar Solskj\u00e6r"", ""position played on team / speciality"", ""playing 1 in the relegation playoffs""]]",1
Q10754,"[[""Arthur Nicolson, 1st Baron Carnock"", ""instance of"", ""human""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Crystal Palace"", ""instance of"", ""sports team""], [""Arthur Nicolson, 1st Baron Carnock"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Arthur Nicolson, 1st Baron Carnock"", ""sport number"", ""first""], [""Arthur Nicolson, 1st Baron Carnock"", ""position played on team / speciality"", ""goal""], [""Club Real Potos\u00ed"", ""league"", ""league debut against Crystal Palace on 18 August 2012""], [""Arthur Nicolson, 1st Baron Carnock"", ""work period (start)"", ""July 2012""]]",1
Q10758,"[[""Erich Bey"", ""instance of"", ""human""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Blackburn Rovers"", ""instance of"", ""sports team""], [""Erich Bey"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Erich Bey"", ""work period (start)"", ""June 2013""], [""Erich Bey"", ""sport"", ""football""], [""Match on 25 March 2014 against Blackburn Rovers"", ""instance of"", ""sport competition""], [""Match on 25 March 2014 against Blackburn Rovers"", ""participant"", ""Erich Bey""], [""Match on 25 March 2014 against Blackburn Rovers"", ""participant"", ""Club Real Potos\u00ed""], [""Match on 25 March 2014 against Blackburn Rovers"", ""participant"", ""Blackburn Rovers""]]",1
