subject,correction_prompt
Q10510,"The following triples for the subject need attention:

Errors:
Triple: ['Jenson Button', 'occupation', 'racing driver']
Error: Object 'racing driver' not defined as an instance.

Triple: ['Lewis Hamilton', 'occupation', 'racing driver']
Error: Object 'racing driver' not defined as an instance.

Triple: ['Jenson Button', 'sport', 'auto racing']
Error: Object 'auto racing' not defined as an instance.

Triple: ['Lewis Hamilton', 'sport', 'auto racing']
Error: Object 'auto racing' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10510315,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Southern League', 'instance of', 'sports league']
Note: Subject 'Southern League' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10513481,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['County Durham', 'instance of', 'geographic location']
Note: Subject 'County Durham' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10516779,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2009', 'instance of', 'year']
Note: Subject '2009' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1051929,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Eva Rutkowskaya', 'instance of', 'human']
Note: Subject 'Eva Rutkowskaya' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q105343,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['American Finance Association', 'instance of', 'organization']
Note: Subject 'American Finance Association' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10541213,"The following triples for the subject need attention:

Errors:
Triple: ['Julia Morley', 'given name', 'Julia']
Error: Object 'Julia' not defined as an instance.

Triple: ['Julia Pritchard', 'given name', 'Julia']
Error: Object 'Julia' not defined as an instance.

Triple: ['Eric Morley', 'given name', 'Eric']
Error: Object 'Eric' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10543,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Graham Taylor', 'instance of', 'human']
Note: Subject 'Graham Taylor' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10550027,"The following triples for the subject need attention:

Errors:
Triple: ['Max Reinthaler', 'date of birth', '6 December 2012']
Error: Object '6 December 2012' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1055367,"The following triples for the subject need attention:

Errors:
Triple: ['Roger Grava', 'country of citizenship', 'unknown']
Error: Object 'unknown' not defined as an instance.

Triple: ['Roger Grava', 'place of birth', 'unknown']
Error: Object 'unknown' not defined as an instance.

Triple: ['Roger Grava', 'sex or gender', 'unknown']
Error: Object 'unknown' not defined as an instance.

Triple: ['Roger Grava', 'date of birth', 'unknown']
Error: Object 'unknown' not defined as an instance.

Triple: ['Roger Grava', 'languages spoken, written or signed', 'unknown']
Error: Object 'unknown' not defined as an instance.

Unused Declarations:
Triple: ['1948', 'instance of', 'year']
Note: Subject '1948' is not used in other triples.

Triple: ['Torino F.', 'instance of', 'city']
Note: Subject 'Torino F.' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10553869,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Sydney FC', 'instance of', 'sports team']
Note: Subject 'Sydney FC' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1055449,"The following triples for the subject need attention:

Errors:
Triple: ['Matteo Salvini', 'position held', 'Member of the European Parliament']
Error: Object 'Member of the European Parliament' not defined as an instance.

Unused Declarations:
Triple: ['European Parliament', 'instance of', 'organization']
Note: Subject 'European Parliament' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10557160,"The following triples for the subject need attention:

Errors:
Triple: ['Fred Halliday', 'occupation', 'sports team manager']
Error: Object 'sports team manager' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1055767,"The following triples for the subject need attention:

Errors:
Triple: ['Franco Ossola', 'work period (start)', '4 February 1940']
Error: Object '4 February 1940' not defined as an instance.

Unused Declarations:
Triple: ['Torino', 'instance of', 'geographic location']
Note: Subject 'Torino' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1055773,"The following triples for the subject need attention:

Errors:
Triple: ['Mario Rigamonti', 'occupation', 'football player']
Error: Object 'football player' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1055780,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Juventus', 'instance of', 'sports team']
Note: Subject 'Juventus' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10558029,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['North American Soccer League', 'instance of', 'sports governing body']
Note: Subject 'North American Soccer League' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10561955,"The following triples for the subject need attention:

Errors:
Triple: ['János Pach', 'occupation', 'mathematician']
Error: Object 'mathematician' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10577,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['San Marino', 'instance of', 'sports team']
Note: Subject 'San Marino' is not used in other triples.

Triple: ['Liverpool', 'instance of', 'sports team']
Note: Subject 'Liverpool' is not used in other triples.

Triple: ['Sunderland', 'instance of', 'sports team']
Note: Subject 'Sunderland' is not used in other triples.

Triple: ['Nottingham Forest', 'instance of', 'sports team']
Note: Subject 'Nottingham Forest' is not used in other triples.

Triple: ['Bulgaria', 'instance of', 'sports team']
Note: Subject 'Bulgaria' is not used in other triples.

Triple: ['Wales', 'instance of', 'sports team']
Note: Subject 'Wales' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q1057736,"The following triples for the subject need attention:

Errors:
Triple: ['Red Sox', 'instance of', 'sports team']
Error: Instance type 'sports team' not valid for object 'Red Sox' with property 'employer'

Triple: ['Theo Epstein', 'occupation', 'baseball player']
Error: Object 'baseball player' not defined as an instance.

Triple: ['Theo Epstein', 'employer', 'Red Sox']
Error: Object 'Red Sox' type 'sports team' does not satisfy the property 'employer' value constraints: ['government organization', 'educational institution', 'television channel', 'radio program', 'radio channel', 'structure of worship', 'legendary figure', 'theatre company', 'airport', 'duo', 'campaign', 'group of humans', 'association', 'periodical', 'mine', 'podcast', 'military base', 'fictional organization', 'fictional company', 'fictional human', 'company', 'anthology', 'fictional location', 'cultural institution', 'manufacturer', 'facility', 'government agency', 'parish', 'organization', 'fictional character', 'administrative territorial entity', 'website', 'television program', 'palace', 'newspaper', 'human']

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10585,"The following triples for the subject need attention:

Errors:
Triple: ['Ben Foster', 'occupation', 'Professional Footballer']
Error: Object 'Professional Footballer' not defined as an instance.

Triple: ['Ben Foster', 'work period (start)', '2001']
Error: Object '2001' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10588,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Europa League', 'instance of', 'sports organization']
Note: Subject 'Europa League' is not used in other triples.

Triple: ['League One', 'instance of', 'sports organization']
Note: Subject 'League One' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q10592,"The following triples for the subject need attention:

Errors:
Triple: ['Marcus Gayle', 'given name', 'Marcus']
Error: Object 'Marcus' not defined as an instance.

Triple: ['Marcus Gayle', 'family name', 'Gayle']
Error: Object 'Gayle' not defined as an instance.

Unused Declarations:
Triple: ['London', 'instance of', 'city']
Note: Subject 'London' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
Q105937,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Virus Laboratory', 'instance of', 'facility']
Note: Subject 'Virus Laboratory' is not used in other triples.

Triple: ['Department of Biochemistry building', 'instance of', 'facility']
Note: Subject 'Department of Biochemistry building' is not used in other triples.

Triple: ['Stanley Hall', 'instance of', 'facility']
Note: Subject 'Stanley Hall' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors and unused declarations mentioned above."
