subject,correction_prompt
Q11614,"The following triples for the subject need attention:

Errors:
Triple: ['Bebop', 'instance of', 'startup company']
Error: Instance type 'startup company' not valid for object 'Bebop' with property 'employer'

Triple: ['Julius Bab', 'position held', 'CEO']
Error: Object 'CEO' not defined as an instance.

Triple: ['Julius Bab', 'position held', 'senior vice president']
Error: Object 'senior vice president' not defined as an instance.

Triple: ['Julius Bab', 'employer', 'Bebop']
Error: Object 'Bebop' type 'startup company' does not satisfy the property 'employer' value constraints: ['government organization', 'educational institution', 'television channel', 'radio program', 'radio channel', 'structure of worship', 'legendary figure', 'theatre company', 'airport', 'duo', 'campaign', 'group of humans', 'association', 'periodical', 'mine', 'podcast', 'military base', 'fictional organization', 'fictional company', 'fictional human', 'company', 'anthology', 'fictional location', 'cultural institution', 'manufacturer', 'facility', 'government agency', 'parish', 'organization', 'fictional character', 'administrative territorial entity', 'website', 'television program', 'palace', 'newspaper', 'human']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11614663,"The following triples for the subject need attention:

Errors:
Triple: ['René Descartes', 'occupation', 'professor']
Error: Object 'professor' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1163688,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Serie B', 'instance of', 'sports league']
Note: Subject 'Serie B' is not used in other triples.

Triple: ['Serie A', 'instance of', 'sports league']
Note: Subject 'Serie A' is not used in other triples.

Triple: ['Lega Pro Prima Divisione', 'instance of', 'sports league']
Note: Subject 'Lega Pro Prima Divisione' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11646366,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2006', 'instance of', 'year']
Note: Subject '2006' is not used in other triples.

Triple: ['refugees', 'instance of', 'group of humans']
Note: Subject 'refugees' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1165731,"The following triples for the subject need attention:

Errors:
Triple: ['Han Zheng', 'cause of death', 'heart attack']
Error: Subject 'Han Zheng' type 'human' does not satisfy the property 'cause of death' subject constraints: ['group of fictional characters', 'character that may or may not be fictional', 'group of living things', 'person', 'fictional character', 'organism']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q116602,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['FK Famos Hrasnica', 'instance of', 'sports team']
Note: Subject 'FK Famos Hrasnica' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q1166022,"The following triples for the subject need attention:

Errors:
Triple: ['UEFA Cup match on 7 December 1999', 'instance of', 'match']
Error: Instance type 'match' not valid for object 'UEFA Cup match on 7 December 1999' with property 'participant in'

Triple: ['Frank Ordenewitz', 'participant in', 'UEFA Cup match on 7 December 1999']
Error: Object 'UEFA Cup match on 7 December 1999' type 'match' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Unused Declarations:
Triple: ['Borussia Dortmund', 'instance of', 'sports team']
Note: Subject 'Borussia Dortmund' is not used in other triples.

Triple: ['UEFA Cup', 'instance of', 'competition']
Note: Subject 'UEFA Cup' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11669,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['University of Virginia', 'instance of', 'educational institution']
Note: Subject 'University of Virginia' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11686816,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2009 European Parliament election in Poland', 'instance of', 'political event']
Note: Subject '2009 European Parliament election in Poland' is not used in other triples.

Triple: ['Gorzów County', 'instance of', 'geographic location']
Note: Subject 'Gorzów County' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q11687634,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['Finland', 'instance of', 'sovereign state']
Note: Subject 'Finland' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
