subject,correction_prompt
Q10510,"The following triples for the subject need attention:

Errors:
Triple: ['Bud Abbott', 'country of citizenship', 'United Kingdom']
Error: Object 'United Kingdom' not defined as an instance.

Triple: ['Bud Abbott', 'occupation', 'racer']
Error: Object 'racer' not defined as an instance.

Triple: ['Bud Abbott', 'occupation', 'Racing driver']
Error: Object 'Racing driver' not defined as an instance.

Triple: ['Bud Abbott', 'completed at', 'Brazilian Grand Prix']
Error: Error: Property 'completed at' not found in properties.

Triple: ['Bud Abbott', 'completed at', 'World Mixed Doubles Curling Championship']
Error: Error: Property 'completed at' not found in properties.

Triple: ['Bud Abbott', 'completed at', '2018-19 World Quizzing Championship']
Error: Error: Property 'completed at' not found in properties.

Triple: ['Bud Abbott', 'number of wins', '6']
Error: Object '6' not defined as an instance.

Triple: ['Scuderia Toro Rosso', 'instance of', 'organization']
Error: Instance type 'organization' not valid for subject 'Scuderia Toro Rosso' with property 'member of sports team'

Triple: ['Scuderia Toro Rosso', 'member of sports team', 'Bud Abbott']
Error: Subject 'Scuderia Toro Rosso' type 'organization' does not satisfy the property 'member of sports team' subject constraints: ['VTuber', 'mascot', 'group of humans', 'fictional human', 'mascot character', 'fictional character', 'human']

Triple: ['Minardi', 'instance of', 'organization']
Error: Instance type 'organization' not valid for subject 'Minardi' with property 'member of sports team'

Triple: ['Minardi', 'member of sports team', 'Bud Abbott']
Error: Subject 'Minardi' type 'organization' does not satisfy the property 'member of sports team' subject constraints: ['VTuber', 'mascot', 'group of humans', 'fictional human', 'mascot character', 'fictional character', 'human']

Triple: ['Williams', 'instance of', 'organization']
Error: Instance type 'organization' not valid for subject 'Williams' with property 'member of sports team'

Triple: ['Williams', 'member of sports team', 'Bud Abbott']
Error: Subject 'Williams' type 'organization' does not satisfy the property 'member of sports team' subject constraints: ['VTuber', 'mascot', 'group of humans', 'fictional human', 'mascot character', 'fictional character', 'human']

Triple: ['SMP Racing', 'instance of', 'organization']
Error: Instance type 'organization' not valid for subject 'SMP Racing' with property 'member of sports team'

Triple: ['SMP Racing', 'member of sports team', 'Bud Abbott']
Error: Subject 'SMP Racing' type 'organization' does not satisfy the property 'member of sports team' subject constraints: ['VTuber', 'mascot', 'group of humans', 'fictional human', 'mascot character', 'fictional character', 'human']

Triple: ['Lewis Hamilton', 'country of citizenship', 'United Kingdom']
Error: Object 'United Kingdom' not defined as an instance.

Triple: ['Lewis Hamilton', 'occupation', 'racer']
Error: Object 'racer' not defined as an instance.

Triple: ['24 Hours of Le Mans', 'instance of', 'race']
Error: Instance type 'race' not valid for subject '24 Hours of Le Mans' with property 'participant in'

Triple: ['24 Hours of Le Mans', 'participant in', 'Bud Abbott']
Error: Subject '24 Hours of Le Mans' type 'race' does not satisfy the property 'participant in' subject constraints: ['group of humans', 'group of fictional characters', 'nation at competition', 'individual animal', 'creative work', 'sports team', 'vessel', 'humanoid robot', 'person', 'fictional character', 'software', 'computer', 'human']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10510315,"The following triples for the subject need attention:

Errors:
Triple: ['Ira Remsen', 'occupation', 'career']
Error: Object 'career' not defined as an instance.

Unused Declarations:
Triple: ['Southern League', 'instance of', 'sports league']
Note: Subject 'Southern League' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10513369,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['2007', 'instance of', 'year']
Note: Subject '2007' is not used in other triples.

Triple: ['2010', 'instance of', 'year']
Note: Subject '2010' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10513481,"The following triples for the subject need attention:

Errors:
Triple: ['County Durham', 'instance of', 'geographic location']
Error: Instance type 'geographic location' not valid for object 'County Durham' with property 'country of citizenship'

Triple: ['Enid Markey', 'country of citizenship', 'County Durham']
Error: Object 'County Durham' type 'geographic location' does not satisfy the property 'country of citizenship' value constraints: ['country in a fiction work', 'disputed territory', 'former or current state', 'historical country', 'fictional planet', 'fictional country', 'sovereign state', 'political territorial entity', 'nationality', 'confederation', 'dependent territory', 'polis', 'city-state', 'colony', 'federated state', 'empire', 'national citizenship', 'nation', 'country']

Triple: ['Enid Markey', 'position played on team / speciality', 'amateur']
Error: Object 'amateur' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10513514,"The following triples for the subject need attention:

Errors:
Triple: ['Lazarus Fuchs', 'occupation', 'free agent']
Error: Object 'free agent' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10514,"The following triples for the subject need attention:

Errors:
Triple: ['Benetton', 'instance of', 'organization']
Error: Instance type 'organization' not valid for object 'Benetton' with property 'member of sports team'

Triple: ['Force India', 'instance of', 'organization']
Error: Instance type 'organization' not valid for object 'Force India' with property 'member of sports team'

Triple: ['Scuderia Toro Rosso', 'instance of', 'organization']
Error: Instance type 'organization' not valid for object 'Scuderia Toro Rosso' with property 'member of sports team'

Triple: ['Renault', 'instance of', 'organization']
Error: Instance type 'organization' not valid for object 'Renault' with property 'member of sports team'

Triple: ['Thomas E. Ackerman', 'member of sports team', 'Benetton']
Error: Object 'Benetton' type 'organization' does not satisfy the property 'member of sports team' value constraints: ['professional wrestling stable', 'department of a sports club', 'fictional sports club', 'fictional sports team', 'sports team', 'tag team', 'clan', 'sports club']

Triple: ['Thomas E. Ackerman', 'member of sports team', 'Force India']
Error: Object 'Force India' type 'organization' does not satisfy the property 'member of sports team' value constraints: ['professional wrestling stable', 'department of a sports club', 'fictional sports club', 'fictional sports team', 'sports team', 'tag team', 'clan', 'sports club']

Triple: ['Thomas E. Ackerman', 'member of sports team', 'Scuderia Toro Rosso']
Error: Object 'Scuderia Toro Rosso' type 'organization' does not satisfy the property 'member of sports team' value constraints: ['professional wrestling stable', 'department of a sports club', 'fictional sports club', 'fictional sports team', 'sports team', 'tag team', 'clan', 'sports club']

Triple: ['Thomas E. Ackerman', 'member of sports team', 'Renault']
Error: Object 'Renault' type 'organization' does not satisfy the property 'member of sports team' value constraints: ['professional wrestling stable', 'department of a sports club', 'fictional sports club', 'fictional sports team', 'sports team', 'tag team', 'clan', 'sports club']

Triple: ['Thomas E. Ackerman', 'participant in', '2001 championship']
Error: Object '2001 championship' type 'sports competition' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Triple: ['Thomas E. Ackerman', 'participant in', '2007 championship']
Error: Object '2007 championship' type 'sports competition' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Triple: ['Thomas E. Ackerman', 'participant in', '2008 championship']
Error: Object '2008 championship' type 'sports competition' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Triple: ['Thomas E. Ackerman', 'participant in', '2009 championship']
Error: Object '2009 championship' type 'sports competition' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Triple: ['Thomas E. Ackerman', 'number of wins', '2']
Error: Object '2' not defined as an instance.

Triple: ['2001 championship', 'instance of', 'sports competition']
Error: Instance type 'sports competition' not valid for object '2001 championship' with property 'participant in'

Triple: ['2007 championship', 'instance of', 'sports competition']
Error: Instance type 'sports competition' not valid for object '2007 championship' with property 'participant in'

Triple: ['2008 championship', 'instance of', 'sports competition']
Error: Instance type 'sports competition' not valid for object '2008 championship' with property 'participant in'

Triple: ['2009 championship', 'instance of', 'sports competition']
Error: Instance type 'sports competition' not valid for object '2009 championship' with property 'participant in'

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10520,"The following triples for the subject need attention:

Errors:
Triple: ['Euro 1996', 'instance of', 'recurring event']
Error: Instance type 'recurring event' not valid for object 'Euro 1996' with property 'participant in'

Triple: ['AC Milan', 'instance of', 'sports team']
Error: Instance type 'sports team' not valid for object 'AC Milan' with property 'employer'

Triple: ['Geno Smith', 'field of work', 'football']
Error: Object 'football' not defined as an instance.

Triple: ['Geno Smith', 'participant in', 'Euro 1996']
Error: Object 'Euro 1996' type 'recurring event' does not satisfy the property 'participant in' value constraints: ['fictional occurrence', 'activity', 'event', 'work', 'occurrence', 'experiment', 'organization']

Triple: ['Geno Smith', 'employer', 'AC Milan']
Error: Object 'AC Milan' type 'sports team' does not satisfy the property 'employer' value constraints: ['government organization', 'educational institution', 'television channel', 'radio program', 'radio channel', 'structure of worship', 'legendary figure', 'theatre company', 'airport', 'duo', 'campaign', 'group of humans', 'association', 'periodical', 'mine', 'podcast', 'military base', 'fictional organization', 'fictional company', 'fictional human', 'company', 'anthology', 'fictional location', 'cultural institution', 'manufacturer', 'facility', 'government agency', 'parish', 'organization', 'fictional character', 'administrative territorial entity', 'website', 'television program', 'palace', 'newspaper', 'human']

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q10526787,"The following triples for the subject need attention:

Unused Declarations:
Triple: ['13 August 2019', 'instance of', 'date']
Note: Subject '13 August 2019' is not used in other triples.

Triple: ['end of the season', 'instance of', 'time period']
Note: Subject 'end of the season' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q105282,"The following triples for the subject need attention:

Errors:
Triple: ['Candice King', 'occupation', 'pianist']
Error: Object 'pianist' not defined as an instance.

Triple: ['Dieter Candice King', 'occupation', 'pianist']
Error: Object 'pianist' not defined as an instance.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
Q105338,"The following triples for the subject need attention:

Errors:
Triple: ['Anton Polenec', 'position held', 'leader of the Party for Freedom']
Error: Object 'leader of the Party for Freedom' not defined as an instance.

Unused Declarations:
Triple: ['Party for Freedom', 'instance of', 'political party']
Note: Subject 'Party for Freedom' is not used in other triples.

Triple: ['European Union', 'instance of', 'sovereign state']
Note: Subject 'European Union' is not used in other triples.

Triple: ['Turkey', 'instance of', 'sovereign state']
Note: Subject 'Turkey' is not used in other triples.

Please provide a corrected set of triples for this subject, addressing the errors or unused declarations mentioned above."
