subject,triples,cycle
Q10510,"[[""Bud Abbott"", ""instance of"", ""human""], [""Bud Abbott"", ""award received"", ""World Drivers' Championship""], [""World Drivers' Championship"", ""instance of"", ""award""], [""Lewis Hamilton"", ""instance of"", ""human""], [""Minardi"", ""instance of"", ""sports team""], [""Minardi"", ""member of sports team"", ""Bud Abbott""], [""Minardi"", ""award received"", ""World Constructors' Championship""], [""World Constructors' Championship"", ""instance of"", ""award""], [""Scuderia Toro Rosso"", ""instance of"", ""sports team""], [""Scuderia Toro Rosso"", ""member of sports team"", ""Bud Abbott""], [""Williams"", ""instance of"", ""sports team""], [""Williams"", ""member of sports team"", ""Bud Abbott""], [""SMP Racing"", ""instance of"", ""sports team""], [""SMP Racing"", ""member of sports team"", ""Bud Abbott""]]",2
Q10510315,"[[""Ira Remsen"", ""instance of"", ""human""], [""Brecon"", ""instance of"", ""geographic location""], [""Aberdare Athletic"", ""instance of"", ""sports team""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Ira Remsen"", ""place of birth"", ""Brecon""], [""Ira Remsen"", ""member of sports team"", ""Aberdare Athletic""], [""Ira Remsen"", ""member of sports team"", ""Club Real Potos\u00ed""]]",2
Q10510843,"[[""Dalai Lama 11 Khedrub Gyatso"", ""instance of"", ""human""], [""U.C. Sampdoria"", ""instance of"", ""sports team""], [""Associazione Sportiva Cittadella"", ""instance of"", ""sports team""], [""Dalai Lama 11 Khedrub Gyatso"", ""member of sports team"", ""U.C. Sampdoria""], [""Dalai Lama 11 Khedrub Gyatso"", ""member of sports team"", ""Associazione Sportiva Cittadella""]]",1
Q10513369,"[[""Stephen Kiprotich"", ""instance of"", ""human""], [""IL H\u00f8dd's youth team"", ""instance of"", ""sports team""], [""IL H\u00f8dd's professional team"", ""instance of"", ""sports team""], [""2007"", ""instance of"", ""year""], [""2010"", ""instance of"", ""year""], [""Stephen Kiprotich"", ""member of sports team"", ""IL H\u00f8dd's youth team""], [""Stephen Kiprotich"", ""member of sports team"", ""IL H\u00f8dd's professional team""]]",2
Q10513481,"[[""Enid Markey"", ""instance of"", ""human""], [""Ferryhill"", ""instance of"", ""geographic location""], [""County Durham"", ""instance of"", ""geographic location""], [""Club Atl\u00e9tico San Mart\u00edn de San Juan"", ""instance of"", ""sports team""], [""1. FC Ko\u0161ice"", ""instance of"", ""sports team""], [""FC Mordovia Saransk"", ""instance of"", ""sports team""], [""Enid Markey"", ""place of birth"", ""Ferryhill""], [""Enid Markey"", ""member of sports team"", ""Club Atl\u00e9tico San Mart\u00edn de San Juan""], [""Enid Markey"", ""member of sports team"", ""1. FC Ko\u0161ice""], [""Enid Markey"", ""member of sports team"", ""FC Mordovia Saransk""]]",2
Q10513514,"[[""Lazarus Fuchs"", ""instance of"", ""human""], [""Como"", ""instance of"", ""sports team""], [""VfB Stuttgart"", ""instance of"", ""sports team""], [""Ulaanbaataryn Mazaalaynuud"", ""instance of"", ""sports team""], [""Paolo Tornaghi"", ""instance of"", ""human""], [""Simone Fautario"", ""instance of"", ""human""], [""Lazarus Fuchs"", ""member of sports team"", ""Como""], [""Lazarus Fuchs"", ""member of sports team"", ""Ulaanbaataryn Mazaalaynuud""], [""Lazarus Fuchs"", ""member of sports team"", ""VfB Stuttgart""], [""Paolo Tornaghi"", ""member of sports team"", ""Como""], [""Simone Fautario"", ""member of sports team"", ""Como""]]",2
Q10514,"[[""Thomas E. Ackerman"", ""instance of"", ""human""], [""Benetton"", ""instance of"", ""sports team""], [""Force India"", ""instance of"", ""sports team""], [""Scuderia Toro Rosso"", ""instance of"", ""sports team""], [""Renault"", ""instance of"", ""sports team""], [""Thomas E. Ackerman"", ""member of sports team"", ""Benetton""], [""Thomas E. Ackerman"", ""member of sports team"", ""Force India""], [""Thomas E. Ackerman"", ""member of sports team"", ""Scuderia Toro Rosso""], [""Thomas E. Ackerman"", ""member of sports team"", ""Renault""], [""2001 championship"", ""instance of"", ""event""], [""2007 championship"", ""instance of"", ""event""], [""2008 championship"", ""instance of"", ""event""], [""2009 championship"", ""instance of"", ""event""], [""Thomas E. Ackerman"", ""participant in"", ""2001 championship""], [""Thomas E. Ackerman"", ""participant in"", ""2007 championship""], [""Thomas E. Ackerman"", ""participant in"", ""2008 championship""], [""Thomas E. Ackerman"", ""participant in"", ""2009 championship""], [""Thomas E. Ackerman"", ""number of wins"", ""2""]]",2
Q10516779,"[[""US Livorno 1915"", ""instance of"", ""sports team""], [""Varese"", ""instance of"", ""sports team""], [""Empress Yang Yan"", ""instance of"", ""human""], [""Empress Yang Yan"", ""member of sports team"", ""US Livorno 1915""], [""Empress Yang Yan"", ""member of sports team"", ""Varese""]]",1
Q1051929,"[[""William Hirstein"", ""instance of"", ""human""], [""Nadija Hordijenko Andrianova"", ""instance of"", ""human""], [""William Hirstein"", ""spouse"", ""Nadija Hordijenko Andrianova""], [""Nadija Hordijenko Andrianova"", ""spouse"", ""William Hirstein""]]",1
Q10520,"[[""Geno Smith"", ""instance of"", ""human""], [""Inter Milan"", ""instance of"", ""sports team""], [""Austria national association football team"", ""instance of"", ""sports team""], [""Major League Soccer"", ""instance of"", ""sports league""], [""AC Milan"", ""instance of"", ""sports team""], [""Geno Smith"", ""member of sports team"", ""Inter Milan""], [""Geno Smith"", ""member of sports team"", ""Austria national association football team""], [""Geno Smith"", ""member of sports team"", ""AC Milan""], [""Geno Smith"", ""league"", ""Major League Soccer""]]",2
Q10526787,"[[""13 August 2019"", ""instance of"", ""date""], [""Michel Terrot"", ""instance of"", ""human""], [""MSV Neuruppin"", ""instance of"", ""sports team""], [""Michel Terrot"", ""member of sports team"", ""MSV Neuruppin""], [""Michel Terrot"", ""participant in"", ""loan""], [""loan"", ""instance of"", ""activity""], [""end of the season"", ""instance of"", ""time period""]]",2
Q105282,"[[""Candice King"", ""instance of"", ""human""], [""Dieter Candice King"", ""instance of"", ""human""], [""Candice King"", ""spouse"", ""Dieter Candice King""], [""Dieter Candice King"", ""spouse"", ""Candice King""]]",2
Q105338,"[[""Anton Polenec"", ""instance of"", ""human""], [""National Union for the Total Independence of Angola"", ""instance of"", ""political party""], [""Party for Freedom"", ""instance of"", ""political party""], [""Anton Polenec"", ""position held"", ""leader of the Party for Freedom""], [""Anton Polenec"", ""member of political party"", ""National Union for the Total Independence of Angola""], [""Anton Polenec"", ""member of political party"", ""Party for Freedom""]]",2
Q105343,"[[""Lalonde Gordon"", ""instance of"", ""human""], [""Gossen Prize"", ""instance of"", ""award""], [""American Finance Association "", ""instance of"", ""group of humans""], [""Lalonde Gordon"", ""award received"", ""Gossen Prize""]]",2
Q10536,"[[""Franz Halder"", ""instance of"", ""human""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Burscough F.C."", ""instance of"", ""sports team""], [""Franz Halder"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Franz Halder"", ""member of sports team"", ""Burscough F.C.""]]",2
Q1054010,"[[""Helene of Mecklenburg-Schwerin"", ""instance of"", ""human""], [""Proletarian Democracy"", ""instance of"", ""political party""], [""Social Democratic Party of Kyrgyzstan"", ""instance of"", ""political party""], [""Kyrgyzstan"", ""instance of"", ""sovereign state""], [""Helene of Mecklenburg-Schwerin"", ""member of political party"", ""Proletarian Democracy""]]",2
Q10541213,"[[""Nikephoros III Botaneiates Pritchard"", ""instance of"", ""human""], [""Eric Nikephoros III Botaneiates"", ""instance of"", ""human""], [""London"", ""instance of"", ""geographic location""], [""Nikephoros III Botaneiates Pritchard"", ""place of birth"", ""London""], [""Nikephoros III Botaneiates Pritchard"", ""spouse"", ""Eric Nikephoros III Botaneiates""], [""Eric Nikephoros III Botaneiates"", ""spouse"", ""Nikephoros III Botaneiates Pritchard""]]",2
Q10543,"[[""Waldemar Magunia"", ""instance of"", ""human""], [""Football"", ""instance of"", ""occupation""], [""Waldemar Magunia"", ""occupation"", ""Football""], [""Billingham Symphonia"", ""instance of"", ""sports team""], [""Waldemar Magunia"", ""member of sports team"", ""Billingham Symphonia""], [""FK Famos Hrasnica"", ""instance of"", ""sports team""], [""Waldemar Magunia"", ""member of sports team"", ""FK Famos Hrasnica""], [""Graham Taylor"", ""instance of"", ""human""], [""1990"", ""instance of"", ""year""], [""Waldemar Magunia"", ""work period (end)"", ""1990""]]",2
Q10543612,"[[""Angel Ayala"", ""instance of"", ""human""], [""Choral Conducting"", ""instance of"", ""occupation""], [""Civil Engineering"", ""instance of"", ""occupation""], [""Angel Ayala"", ""occupation"", ""Choral Conducting""], [""Angel Ayala"", ""occupation"", ""Civil Engineering""]]",2
Q10547100,"[[""Viktoria Plze\u2248\u00e0 youth system"", ""instance of"", ""sports team""], [""Mihran Jaburyan"", ""instance of"", ""human""], [""Ulaanbaataryn Mazaalaynuud"", ""instance of"", ""sports team""], [""FC Sachsen Leipzig"", ""instance of"", ""sports team""], [""Czech Republic"", ""instance of"", ""sovereign state""], [""Mihran Jaburyan"", ""member of sports team"", ""Viktoria Plze\u2248\u00e0 youth system""], [""Mihran Jaburyan"", ""member of sports team"", ""Ulaanbaataryn Mazaalaynuud""], [""Mihran Jaburyan"", ""member of sports team"", ""FC Sachsen Leipzig""], [""Mihran Jaburyan"", ""country of citizenship"", ""Czech Republic""]]",2
Q10550027,"[[""St\u00e9phane Darbion"", ""instance of"", ""human""], [""Inter Milan"", ""instance of"", ""sports team""], [""Liverpool"", ""instance of"", ""sports team""], [""St\u00e9phane Darbion"", ""member of sports team"", ""Inter Milan""], [""St\u00e9phane Darbion"", ""sport"", ""football""]]",2
Q10551263,"[[""Engelbert Dollfuss"", ""instance of"", ""human""], [""Engelbert Dollfuss"", ""member of sports team"", ""Marx Memorial Library football team""], [""Engelbert Dollfuss"", ""position played on team / speciality"", ""forward""]]",2
