subject,triples,cycle
Q107365,"[[""Manuel Neuer"", ""instance of"", ""human""], [""Bayern Munich"", ""instance of"", ""sports team""], [""1 June 2011"", ""instance of"", ""date""], [""June 2016"", ""instance of"", ""date""], [""five-year contract"", ""instance of"", ""contract""], [""Manuel Neuer"", ""work period (start)"", ""1 June 2011""], [""Manuel Neuer"", ""member of sports team"", ""Bayern Munich""]]",2
Q1073739,"[[""Susan Calvin"", ""instance of"", ""human""], [""Susan Calvin"", ""instance of"", ""person""], [""Columbia University"", ""instance of"", ""educational institution""], [""bachelor's degree"", ""instance of"", ""academic degree""], [""post-graduate work"", ""instance of"", ""occupation""], [""cybernetics"", ""instance of"", ""field of work""], [""positronic brains"", ""instance of"", ""artificial object""], [""2003"", ""instance of"", ""year""], [""Susan Calvin"", ""educated at"", ""Columbia University""], [""Susan Calvin"", ""field of work"", ""cybernetics""], [""Susan Calvin"", ""occupation"", ""post-graduate work""], [""Susan Calvin"", ""creator"", ""positronic brains""]]",2
Q10738,"[[""Dwayne Johnson"", ""instance of"", ""human""], [""Dany Garcia"", ""instance of"", ""human""], [""May 3, 1997"", ""instance of"", ""time period""], [""Dwayne Johnson"", ""spouse"", ""Dany Garcia""], [""Dwayne Johnson"", ""date of birth"", ""May 3, 1997""], [""Dany Garcia"", ""spouse"", ""Dwayne Johnson""]]",2
Q107405,"[[""Lars Onsager"", ""instance of"", ""human""], [""Yale"", ""instance of"", ""educational institution""], [""Hans Falkenhagen"", ""instance of"", ""human""], [""Lorentz Medal"", ""instance of"", ""award""], [""Willard Gibbs Award"", ""instance of"", ""award""], [""Nobel Prize in Chemistry"", ""instance of"", ""award""], [""Lars Onsager"", ""employer"", ""Yale""], [""Lars Onsager"", ""award received"", ""Lorentz Medal""], [""Lars Onsager"", ""award received"", ""Willard Gibbs Award""], [""Lars Onsager"", ""award received"", ""Nobel Prize in Chemistry""]]",2
Q107407,"[[""Hugh David Politzer"", ""instance of"", ""human""], [""Bronx High School of Science"", ""instance of"", ""educational institution""], [""University of Michigan"", ""instance of"", ""educational institution""], [""Harvard University"", ""instance of"", ""educational institution""], [""Sidney Coleman"", ""instance of"", ""human""], [""Hugh David Politzer"", ""educated at"", ""Bronx High School of Science""], [""Hugh David Politzer"", ""educated at"", ""University of Michigan""], [""Hugh David Politzer"", ""educated at"", ""Harvard University""], [""Hugh David Politzer"", ""student of"", ""Sidney Coleman""]]",2
Q107450,"[[""Frank Wilczek"", ""instance of"", ""human""], [""1982"", ""instance of"", ""year""], [""MacArthur Fellowship"", ""instance of"", ""award""], [""Frank Wilczek"", ""award received"", ""MacArthur Fellowship""]]",2
Q1074540,"[[""Filippo Savi"", ""instance of"", ""human""], [""Monza"", ""instance of"", ""geographic location""], [""Lega Pro Prima Divisione"", ""instance of"", ""sports club""], [""Serie C1"", ""instance of"", ""sports club""], [""SPAL"", ""instance of"", ""sports club""], [""Filippo Savi"", ""member of sports team"", ""Monza""], [""Filippo Savi"", ""member of sports team"", ""Lega Pro Prima Divisione""], [""Filippo Savi"", ""member of sports team"", ""SPAL""], [""Filippo Savi"", ""work period (start)"", ""January 2007""], [""Filippo Savi"", ""work period (start)"", ""July 2008""]]",2
Q1075016,"[[""Francesco Ruopolo"", ""instance of"", ""human""], [""Francesco Ruopolo"", ""member of sports team"", ""Parma""], [""Francesco Ruopolo"", ""member of sports team"", ""FC Lokomotiv Moscow""], [""1 July 2004"", ""instance of"", ""date""], [""2005 Russian season"", ""instance of"", ""time period""], [""Parma"", ""instance of"", ""sports team""], [""FC Lokomotiv Moscow"", ""instance of"", ""sports team""], [""UEFA Cup"", ""instance of"", ""sporting event""], [""Coppa Italia"", ""instance of"", ""sporting event""], [""relegation playoffs"", ""instance of"", ""sporting event""], [""Francesco Ruopolo"", ""occupation"", ""football player""], [""Francesco Ruopolo"", ""sport"", ""football""]]",2
Q10754,"[[""Almen Abdi"", ""instance of"", ""human""], [""Watford"", ""instance of"", ""sports team""], [""Crystal Palace"", ""instance of"", ""sports team""], [""Almen Abdi"", ""member of sports team"", ""Watford""], [""Almen Abdi"", ""date of birth"", ""18 August 2012""], [""Almen Abdi"", ""work period (start)"", ""July 2012""], [""Almen Abdi"", ""sport"", ""football""], [""Almen Abdi"", ""family name"", ""Abdi""], [""Almen Abdi"", ""given name"", ""Almen""], [""Almen Abdi"", ""occupation"", ""footballer""], [""Watford vs Crystal Palace"", ""instance of"", ""sporting event""], [""Almen Abdi"", ""position played on team / specialty"", ""goal scorer""]]",2
Q10758,"[[""Marco Cassetti"", ""instance of"", ""human""], [""Watford"", ""instance of"", ""sports team""], [""Blackburn Rovers"", ""instance of"", ""sports team""], [""Marco Cassetti"", ""member of sports team"", ""Watford""], [""Marco Cassetti"", ""country of citizenship"", ""Italy""], [""Watford"", ""country for sport"", ""England""], [""Blackburn Rovers"", ""country for sport"", ""England""], [""Marco Cassetti"", ""occupation"", ""soccer player""], [""Marco Cassetti"", ""work period (start)"", ""June 2013""], [""Marco Cassetti"", ""given name"", ""Marco""], [""Marco Cassetti"", ""family name"", ""Cassetti""]]",2
