subject,triples
Q1022455,"[[""Bianka Lamade"", ""instance of"", ""human""], [""US Livorno 1915"", ""instance of"", ""sports team""], [""Arezzo"", ""instance of"", ""sports team""], [""Bianka Lamade"", ""member of sports team"", ""US Livorno 1915""], [""Bianka Lamade"", ""member of sports team"", ""Arezzo""], [""Italian football"", ""instance of"", ""sport""], [""Bianka Lamade"", ""sport"", ""Italian football""]]"
Q102379,"[[""Florian Gallenberger"", ""instance of"", ""human""], [""Augsburg University Prize for Spain, Portugal and Latin American Studies"", ""instance of"", ""award""], [""1980 Nobel Prize in Physiology or Medicine"", ""instance of"", ""award""], [""Biotechnology Industry Organization (BIO)"", ""instance of"", ""organization""], [""Chemical Heritage Foundation"", ""instance of"", ""organization""], [""Walter Gilbert"", ""instance of"", ""human""], [""Frederick Sanger"", ""instance of"", ""human""], [""Florian Gallenberger"", ""award received"", ""Augsburg University Prize for Spain, Portugal and Latin American Studies""], [""Florian Gallenberger"", ""award received"", ""1980 Nobel Prize in Physiology or Medicine""], [""Biotechnology Industry Organization (BIO)"", ""award received"", ""Augsburg University Prize for Spain, Portugal and Latin American Studies""], [""Chemical Heritage Foundation"", ""award received"", ""Augsburg University Prize for Spain, Portugal and Latin American Studies""], [""Walter Gilbert"", ""award received"", ""1980 Nobel Prize in Physiology or Medicine""], [""Frederick Sanger"", ""award received"", ""1980 Nobel Prize in Physiology or Medicine""]]"
Q102464,"[[""Harald Schmid"", ""instance of"", ""human""], [""1958 Somerset Maugham Award"", ""instance of"", ""award""], [""National Prize of East Germany"", ""instance of"", ""award""], [""1976 Lion Feuchtwanger Prize"", ""instance of"", ""award""], [""1988 Goethe Prize of the East German Capital"", ""instance of"", ""award""], [""Harald Schmid"", ""award received"", ""1958 Somerset Maugham Award""], [""Harald Schmid"", ""award received"", ""National Prize of East Germany""], [""Harald Schmid"", ""award received"", ""1976 Lion Feuchtwanger Prize""], [""Harald Schmid"", ""award received"", ""1988 Goethe Prize of the East German Capital""]]"
Q102870,"[[""Kirill I of Moscow"", ""instance of"", ""human""], [""John Kirill I of Moscow"", ""instance of"", ""human""], [""Kirill I of Moscow"", ""spouse"", ""John Kirill I of Moscow""]]"
Q1030769,"[[""Marcus Ummidius Quadratus Annianus"", ""instance of"", ""human""], [""Leonardo da Vinci programme"", ""instance of"", ""award""], [""1995"", ""instance of"", ""year""], [""Marcus Ummidius Quadratus Annianus"", ""award received"", ""Leonardo da Vinci programme""], [""Marcus Ummidius Quadratus Annianus"", ""date of birth"", ""1995""]]"
Q103220,"[[""Abraham Maslow"", ""instance of"", ""person""], [""local gymnasium"", ""instance of"", ""educational institution""], [""Realgymnasium in Wiesbaden"", ""instance of"", ""educational institution""], [""Swiss Federal Institute of Technology in Lausanne"", ""instance of"", ""educational institution""], [""Eidgen\u221a\u2202ssische Polytechnikum Z\u221a\u00barich"", ""instance of"", ""educational institution""], [""Abraham Maslow"", ""educated at"", ""local gymnasium""], [""Abraham Maslow"", ""educated at"", ""Realgymnasium in Wiesbaden""], [""Abraham Maslow"", ""educated at"", ""Swiss Federal Institute of Technology in Lausanne""], [""Abraham Maslow"", ""educated at"", ""Eidgen\u221a\u2202ssische Polytechnikum Z\u221a\u00barich""]]"
Q1032609,"[[""Gaetano Fraschini"", ""instance of"", ""human""], [""Goyang Zaicro FC"", ""instance of"", ""sports team""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""1. FC Heidenheim 1846"", ""instance of"", ""sports team""], [""Joe Mattock"", ""instance of"", ""human""], [""Gaetano Fraschini"", ""member of sports team"", ""Goyang Zaicro FC""], [""Gaetano Fraschini"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Gaetano Fraschini"", ""member of sports team"", ""1. FC Heidenheim 1846""], [""Joe Mattock"", ""member of sports team"", ""1. FC Heidenheim 1846""]]"
Q10329451,"[[""Kim J. Henriksen"", ""instance of"", ""human""], [""Kim J. Henriksen's wife"", ""instance of"", ""human""], [""Royal Institute of British Architects King's Gallantry Medal"", ""instance of"", ""award""], [""Kim J. Henriksen"", ""spouse"", ""Kim J. Henriksen's wife""], [""Kim J. Henriksen's wife"", ""spouse"", ""Kim J. Henriksen""], [""Kim J. Henriksen"", ""award received"", ""Royal Institute of British Architects King's Gallantry Medal""], [""Kim J. Henriksen's wife"", ""award received"", ""Royal Institute of British Architects King's Gallantry Medal""]]"
Q103311,"[[""William Taubman"", ""instance of"", ""human""], [""Wolfgang Fritz William Taubman"", ""instance of"", ""human""], [""William Taubman"", ""spouse"", ""Wolfgang Fritz William Taubman""]]"
Q103614,"[[""Anthony Ichiro Sanda"", ""instance of"", ""person""], [""Fran Lebowitz"", ""instance of"", ""person""], [""2004 Lannan Literary Awards"", ""instance of"", ""award""], [""Anthony Ichiro Sanda"", ""award received"", ""2004 Lannan Literary Awards""], [""Fran Lebowitz"", ""award received"", ""2004 Lannan Literary Awards""], [""CP violation"", ""instance of"", ""research""], [""B meson decays"", ""instance of"", ""research""], [""Anthony Ichiro Sanda"", ""field of work"", ""CP violation""], [""Anthony Ichiro Sanda"", ""field of work"", ""B meson decays""]]"
Q1037579,"[[""Pekka Hyv\u00e4rinen"", ""instance of"", ""human""], [""Pekka Hyv\u00e4rinen"", ""educated at"", ""University of East London""], [""University of East London"", ""instance of"", ""educational institution""]]"
Q10381249,"[[""Charles V"", ""instance of"", ""human""], [""F\u00e4ssbergs IF"", ""instance of"", ""sports team""], [""AFK Union \u017di\u017ekov"", ""instance of"", ""sports team""], [""1. HFK Olomouc"", ""instance of"", ""sports team""], [""F.C. F\u00e4ssbergs IF of Manchester"", ""instance of"", ""sports team""], [""Alemannia Aachen"", ""instance of"", ""sports team""], [""1. M\u00fcnchner FC 1896"", ""instance of"", ""sports team""], [""Club Deportivo Guadalajara"", ""instance of"", ""sports team""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Fisher Athletic"", ""instance of"", ""sports team""], [""FC Ingolstadt 04"", ""instance of"", ""sports team""], [""Charles V"", ""member of sports team"", ""F\u00e4ssbergs IF""], [""Charles V"", ""member of sports team"", ""AFK Union \u017di\u017ekov""], [""Charles V"", ""member of sports team"", ""1. HFK Olomouc""], [""Charles V"", ""member of sports team"", ""F.C. F\u00e4ssbergs IF of Manchester""], [""Charles V"", ""member of sports team"", ""Alemannia Aachen""], [""Charles V"", ""member of sports team"", ""1. M\u00fcnchner FC 1896""], [""Charles V"", ""member of sports team"", ""Club Deportivo Guadalajara""], [""Charles V"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Charles V"", ""member of sports team"", ""Fisher Athletic""], [""Charles V"", ""member of sports team"", ""FC Ingolstadt 04""]]"
Q10390299,"[[""Adelaide of Saxe-Meiningen"", ""instance of"", ""human""], [""Villa Teresa"", ""instance of"", ""sports team""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Adelaide of Saxe-Meiningen"", ""member of sports team"", ""Villa Teresa""], [""Adelaide of Saxe-Meiningen"", ""member of sports team"", ""Club Real Potos\u00ed""]]"
Q10393375,"[[""Louis II, Elector of Brandenburg"", ""instance of"", ""human""], [""Bearsted F.C."", ""instance of"", ""sports team""], [""AC Cesena"", ""instance of"", ""sports team""], [""Albania"", ""instance of"", ""sovereign state""], [""Louis II, Elector of Brandenburg"", ""member of sports team"", ""Bearsted F.C.""], [""Louis II, Elector of Brandenburg"", ""member of sports team"", ""AC Cesena""], [""Louis II, Elector of Brandenburg"", ""country of citizenship"", ""Albania""]]"
Q1039622,"[[""Matthew the Apostle"", ""instance of"", ""person""], [""General Dmitry Karbyshev"", ""instance of"", ""person""], [""Matthew the Apostle"", ""spouse"", ""General Dmitry Karbyshev""], [""General Dmitry Karbyshev"", ""spouse"", ""Matthew the Apostle""]]"
Q104104,"[[""Anita W\u0142odarczyk"", ""instance of"", ""human""], [""Michael Berry"", ""instance of"", ""human""], [""2000 Carbuncle Cup"", ""instance of"", ""award""], [""Anita W\u0142odarczyk"", ""award received"", ""2000 Carbuncle Cup""], [""Michael Berry"", ""award received"", ""2000 Carbuncle Cup""]]"
Q104164,"[[""Adolfas Jucys"", ""instance of"", ""human""], [""Adolfas Jucys"", ""award received"", ""Somerset Maugham Award""], [""Somerset Maugham Award"", ""instance of"", ""award""], [""1998 Somerset Maugham Award"", ""instance of"", ""award""], [""Adolfas Jucys"", ""award received"", ""1998 Somerset Maugham Award""]]"
Q104173,"[[""Albert of Aix"", ""instance of"", ""human""], [""Royal Society of Canada"", ""instance of"", ""organization""], [""Academy of Sciences Leopoldina"", ""instance of"", ""organization""], [""Berlin-Brandenburg Academy of Sciences and Humanities"", ""instance of"", ""organization""], [""Europ\u221a\u00a7ische Akademie Nordrhein-Westfalen"", ""instance of"", ""organization""], [""Albert of Aix"", ""member of"", ""Royal Society of Canada""], [""Albert of Aix"", ""member of"", ""Academy of Sciences Leopoldina""], [""Albert of Aix"", ""member of"", ""Berlin-Brandenburg Academy of Sciences and Humanities""], [""Albert of Aix"", ""member of"", ""Europ\u221a\u00a7ische Akademie Nordrhein-Westfalen""]]"
Q1041755,"[[""Emil Haussmann"", ""instance of"", ""human""], [""Grand Duke Dimitri Constantinovich of Russia"", ""instance of"", ""human""], [""Emil Haussmann"", ""spouse"", ""Grand Duke Dimitri Constantinovich of Russia""], [""Grand Duke Dimitri Constantinovich of Russia"", ""spouse"", ""Emil Haussmann""]]"
Q104266,"[[""Franco Zeffirelli"", ""instance of"", ""human""], [""Kennedy Center Honor in 2009"", ""instance of"", ""award""], [""Hollywood Walk of Fame star in 2010"", ""instance of"", ""award""], [""41st Grammy Lifetime Achievement Award in June 2013"", ""instance of"", ""award""], [""British Film Institute Fellowship in March 2015"", ""instance of"", ""award""], [""National Medal of Arts in September 2016"", ""instance of"", ""award""], [""BAFTA Fellowship in February 2017"", ""instance of"", ""award""], [""Franco Zeffirelli"", ""award received"", ""Kennedy Center Honor in 2009""], [""Franco Zeffirelli"", ""award received"", ""Hollywood Walk of Fame star in 2010""], [""Franco Zeffirelli"", ""award received"", ""41st Grammy Lifetime Achievement Award in June 2013""], [""Franco Zeffirelli"", ""award received"", ""British Film Institute Fellowship in March 2015""], [""Franco Zeffirelli"", ""award received"", ""National Medal of Arts in September 2016""], [""Franco Zeffirelli"", ""award received"", ""BAFTA Fellowship in February 2017""]]"
Q104592,"[[""Hoffmann, Frederick IV"", ""instance of"", ""human""], [""2011 Salem Prize"", ""instance of"", ""award""], [""Ralph M."", ""instance of"", ""human""], [""innate immunity"", ""instance of"", ""field of work""], [""Hoffmann, Frederick IV"", ""award received"", ""2011 Salem Prize""], [""Ralph M."", ""award received"", ""2011 Salem Prize""], [""Hoffmann, Frederick IV"", ""field of work"", ""innate immunity""], [""Ralph M."", ""field of work"", ""innate immunity""]]"
Q1046087,"[[""Artur Balder"", ""instance of"", ""human""], [""Tuomo Ylipulli"", ""instance of"", ""human""], [""Artur Balder"", ""spouse"", ""Tuomo Ylipulli""], [""Tuomo Ylipulli"", ""spouse"", ""Artur Balder""]]"
Q10482905,"[[""G\u00fcnter de Bruyn"", ""instance of"", ""human""], [""LFA Reggio Calabria"", ""instance of"", ""sports team""], [""Luca Belingheri"", ""instance of"", ""human""], [""G\u00fcnter de Bruyn"", ""member of sports team"", ""LFA Reggio Calabria""], [""Luca Belingheri"", ""member of sports team"", ""LFA Reggio Calabria""]]"
Q10505439,"[[""Herman IV"", ""instance of"", ""human""], [""Duke of Swabia"", ""instance of"", ""title of authority""], [""AC Cesena"", ""instance of"", ""sports team""], [""Taranto"", ""instance of"", ""sports team""], [""Herman IV"", ""occupation"", ""Duke of Swabia""], [""Herman IV"", ""member of sports team"", ""AC Cesena""], [""Herman IV"", ""member of sports team"", ""Taranto""]]"
Q1000314,"[[""Franc Guben\u0161ek"", ""instance of"", ""human""], [""Fine Gael"", ""instance of"", ""political party""], [""Franc Guben\u0161ek"", ""member of political party"", ""Fine Gael""], [""wissenschaftlicher Assistent"", ""instance of"", ""occupation""], [""Franc Guben\u0161ek"", ""occupation"", ""wissenschaftlicher Assistent""], [""D\u00e1il \u00c9ireann member for Limerick East"", ""instance of"", ""position""], [""Franc Guben\u0161ek"", ""position held"", ""D\u00e1il \u00c9ireann member for Limerick East""]]"
Q1000498,"[[""Eduardo Herrera Bueno"", ""instance of"", ""human""], [""Kreta cuff band"", ""instance of"", ""award""], [""Eduardo Herrera Bueno"", ""award received"", ""Kreta cuff band""], [""public service"", ""instance of"", ""occupation""], [""Eduardo Herrera Bueno"", ""occupation"", ""public service""]]"
Q1000803,"[[""Bulgarus"", ""instance of"", ""human""], [""Swiss Federal Institute of Technology Zurich"", ""instance of"", ""educational institution""], [""X"", ""instance of"", ""educational institution""], [""Bulgarus"", ""educated at"", ""Swiss Federal Institute of Technology Zurich""], [""Bulgarus"", ""educated at"", ""X""]]"
Q1003315,"[[""Werner Krauss"", ""instance of"", ""human""], [""Werner Krauss"", ""member of sports team"", ""SSC Napoli""], [""Werner Krauss"", ""member of sports team"", ""Inter Milan""], [""Werner Krauss"", ""member of sports team"", ""Empoli""], [""SSC Napoli"", ""instance of"", ""sports team""], [""Inter Milan"", ""instance of"", ""sports team""], [""Empoli"", ""instance of"", ""sports team""]]"
Q1007244,"[[""Chris Gibson"", ""instance of"", ""human""], [""Adam Smith"", ""instance of"", ""human""], [""Chris Gibson"", ""spouse"", ""Adam Smith""], [""Adam Smith"", ""spouse"", ""Chris Gibson""]]"
Q101005,"[[""Henry of Schweinfurt"", ""instance of"", ""human""], [""Goldene Leinwand"", ""instance of"", ""award""], [""IEEE-Fellow Award"", ""instance of"", ""award""], [""Henry of Schweinfurt"", ""award received"", ""Goldene Leinwand""], [""Henry of Schweinfurt"", ""award received"", ""IEEE-Fellow Award""]]"
Q101394,"[[""Princess Juliane of Saxe-Coburg and Gotha"", ""instance of"", ""human""], [""Borken"", ""instance of"", ""geographic entity""], [""Princess Juliane of Saxe-Coburg and Gotha"", ""place of death"", ""Borken""], [""1988-07-07"", ""instance of"", ""date""], [""Princess Juliane of Saxe-Coburg and Gotha"", ""date of death"", ""1988-07-07""], [""Female"", ""instance of"", ""gender""], [""Princess Juliane of Saxe-Coburg and Gotha"", ""sex or gender"", ""Female""]]"
Q101728,"[[""Sakari Salo"", ""instance of"", ""human""], [""German National Prize for Art and Science"", ""instance of"", ""award""], [""Sakari Salo"", ""award received"", ""German National Prize for Art and Science""], [""Columbia University"", ""instance of"", ""educational institution""], [""Sakari Salo"", ""educated at"", ""Columbia University""]]"
Q101757,"[[""Simen \u00d8stensen"", ""instance of"", ""human""], [""Progressive Republican Party"", ""instance of"", ""political party""], [""Simen \u00d8stensen"", ""member of political party"", ""Progressive Republican Party""]]"
