subject,triples,cycle
Q1000314,"[[""Franc Guben\u0161ek"", ""instance of"", ""human""], [""Franc Guben\u0161ek"", ""member of political party"", ""Fine Gael""], [""Franc Guben\u0161ek"", ""position held"", ""wissenschaftlicher Assistent""], [""Franc Guben\u0161ek"", ""occupation"", ""wissenschaftlicher Assistent""], [""1961 general election"", ""instance of"", ""general election""], [""Limerick East"", ""instance of"", ""geographic entity""], [""Franc Guben\u0161ek"", ""position held"", ""D\u221a\u00b0il \u221a\u00e2ireann member for Limerick East""]]",1
Q1000498,"[[""Eduardo Herrera Bueno"", ""instance of"", ""human""], [""1996"", ""instance of"", ""year""], [""Kreta cuff band"", ""instance of"", ""award""], [""Eduardo Herrera Bueno"", ""award received"", ""Kreta cuff band""], [""Eduardo Herrera Bueno"", ""given name"", ""Eduardo""], [""Herrera Bueno"", ""family name"", ""Eduardo""], [""public service"", ""instance of"", ""occupation""], [""Eduardo Herrera Bueno"", ""occupation"", ""public service""]]",1
Q1000803,"[[""Bulgarus"", ""instance of"", ""human""], [""Master's degree in Civil and Structural Engineering"", ""instance of"", ""academic degree""], [""Swiss Federal Institute of Technology Zurich"", ""instance of"", ""educational institution""], [""MBA"", ""instance of"", ""academic degree""], [""X"", ""instance of"", ""educational institution""], [""1959"", ""instance of"", ""year""], [""1965"", ""instance of"", ""year""], [""Bulgarus"", ""educated at"", ""Swiss Federal Institute of Technology Zurich""], [""Bulgarus"", ""educated at"", ""X""], [""Master's degree in Civil and Structural Engineering"", ""participant in"", ""Bulgarus""], [""MBA"", ""participant in"", ""Bulgarus""]]",1
Q1001,"[[""Oswald von Wolkenstein"", ""instance of"", ""human""], [""Oswald von Wolkenstein"", ""occupation"", ""lawyer""], [""Oswald von Wolkenstein"", ""field of work"", ""law""], [""Oswald von Wolkenstein"", ""age"", 23], [""Abdullah's cousin"", ""instance of"", ""human""], [""Algeria"", ""instance of"", ""country""], [""April 1893"", ""instance of"", ""time""], [""Oswald von Wolkenstein"", ""moved to"", ""Algeria in 1893""]]",1
Q1002250,"[[""Ian Brady Kosterlitz"", ""instance of"", ""human""], [""Ian Brady Kosterlitz"", ""award received"", ""2016 Nobel Prize in Physiology or Medicine""], [""Ian Brady Kosterlitz"", ""field of work"", ""theoretical discoveries of topological phase transitions and topological phases of matter""]]",1
Q1003315,"[[""Werner Krauss"", ""instance of"", ""human""], [""Werner Krauss"", ""member of sports team"", ""SSC Napoli""], [""Werner Krauss"", ""member of sports team"", ""Inter Milan""], [""Werner Krauss"", ""member of sports team"", ""Empoli""], [""SSC Napoli"", ""instance of"", ""sports team""], [""Inter Milan"", ""instance of"", ""sports team""], [""Empoli"", ""instance of"", ""sports team""], [""Werner Krauss"", ""work period (start)"", ""25 August 2014""], [""Werner Krauss"", ""work period (start)"", ""28 August 2009""]]",1
Q1007206,"[[""Diedrich Hermann Westermann"", ""instance of"", ""human""], [""Diedrich Hermann Westermann"", ""occupation"", ""actor""], [""Diedrich Hermann Westermann"", ""sex or gender"", ""male""], [""Diedrich Hermann Westermann"", ""spouse"", ""Dominique Nachury""], [""Diedrich Hermann Westermann"", ""country of citizenship"", ""Germany""], [""Dominique Nachury"", ""instance of"", ""human""], [""Dominique Nachury"", ""occupation"", ""actress""], [""Dominique Nachury"", ""sex or gender"", ""female""], [""Dominique Nachury"", ""spouse"", ""Diedrich Hermann Westermann""], [""Dominique Nachury"", ""country of citizenship"", ""United States""], [""Olvidarte Jamas"", ""instance of"", ""telenovela""], [""the telenovela Olvidarte Jamas"", ""instance of"", ""Venezuelan television drama""], [""Venezuelan television drama"", ""instance of"", ""media genre""], [""February 29, 2008"", ""instance of"", ""date""]]",1
Q1007244,"[[""Chris Gibson"", ""instance of"", ""human""], [""Adam Smith"", ""instance of"", ""human""], [""Chris Gibson"", ""spouse"", ""Adam Smith""], [""Adam Smith"", ""spouse"", ""Chris Gibson""], [""Adam Smith"", ""occupation"", ""actor""], [""Adam Smith"", ""country of citizenship"", ""Venezuela""], [""Chris Gibson"", ""marriage date"", ""June 14, 2007""]]",1
Q1008502,"[[""Ba Jin"", ""instance of"", ""human""], [""Coburg Badge"", ""instance of"", ""award""], [""Catalan government"", ""instance of"", ""organization""], [""Coronavirus pandemic"", ""instance of"", ""event""], [""Spain"", ""instance of"", ""country""], [""6 April 2020"", ""instance of"", ""date""], [""Ba Jin"", ""date of death"", ""6 April 2020""], [""Ba Jin"", ""place of death"", ""Spain""], [""Ba Jin"", ""manner of death"", ""snakebite""], [""Ba Jin"", ""award received"", ""Coburg Badge""], [""Coburg Badge"", ""award received by"", ""Ba Jin""], [""Ba Jin"", ""age at death"", ""79""], [""Coronavirus pandemic"", ""place"", ""Spain""], [""Coronavirus pandemic"", ""time"", ""6 April 2020""], [""Catalan government"", ""award given"", ""Coburg Badge""]]",1
Q100948,"[[""Erwin Bauer"", ""instance of"", ""human""], [""Erwin Bauer"", ""sex or gender"", ""female""], [""Erwin Bauer"", ""field of work"", ""zoology""], [""Erwin Bauer"", ""field of work"", ""genetics""], [""Erwin Bauer"", ""educated at"", ""Marine Biological Laboratory""], [""Erwin Bauer"", ""educated at"", ""Nation University""], [""Erwin Bauer"", ""award received"", ""Cullum Geographical Medal""], [""Erwin Bauer"", ""member of"", ""American Academy of Arts and Letters""], [""Erwin Bauer"", ""place of death"", ""Casas Adobes""], [""Erwin Bauer"", ""manner of death"", ""heart attack""], [""Cullum Geographical Medal"", ""instance of"", ""award""], [""Cullum Geographical Medal"", ""described by source"", ""American Geographical Society""], [""American Academy of Arts and Letters"", ""instance of"", ""organization""]]",1
